6100017;LA CHAPELLE ST LUC AJFB;
6100004;MOUSSEY CS;
6100005;ROMILLY SPORTS 10;
6100040;ROMILLY-VILLENAUXE CAP;
6100032;SAINT ANDRE ASTT;
6100035;ST MESMIN-VALLANT TT;
6100007;ST PARRES AUX TERTRES AST;
6100015;TROYES JEUNE GARDE;
6100002;TROYES OS-NOES;
11110023;CARCASSONNE MJC PONGISTE;
11110028;CAVES LEUCATE TENNIS DE TABLE;
11110015;LEZIGNAN CORBIERES MJC TT;
11110009;LIMOUX TT;
11110024;MJC GRUISSAN TENNIS DE TABLE;
11110027;NARBONNE Tennis de Table;
11110001;NEVIAN TT 2001;
11110026;PEXIORA MJC TT;
11110032;Sigean Tennis de Table;
11110029;Tennis De Table Village Passion;
11110013;TREBES TT;
11120042;C.C.S. SEVERAGAIS;
11120025;CLUB PONGISTE D'ENTRAYGUES;
11120026;ONET LE CHATEAU T.T.;
11120009;PING CLUB D'OLEMPS;
11120043;PING PONG CAPDENACOIS;
11120052;PING VALLON;
11120045;PPC LIOUJACOIS;
11120047;PPC VILLEFRANCHOIS;
11120044;SEBAZAC TENNIS DE TABLE;
11120004;STADE OLYMPIQUE MILLAVOIS;
11120017;T.T. ESPALIONNAIS;
11120024;T.T.CARCENAC BARAQUEVILLE;
11120046;TT DECAZEVILLOIS;
13130152;AIX LES MILLES TT;
13130170;ALPILLES TT EYGUIERES;
13130004;AS AVENIR NOTRE DAME;
13130012;AS MIRAMAS;
13130175;ASA PING VELAUX;
13130137;ASC LANBERNAC;
13130022;ASSUP FOS SUR MER;
13130067;AUBAGNE TT;
13130161;CEYRESTE PP;
13130122;CLUB PONGISTE NOVAIS;
13130118;CTT FONTROUGE - SAUSSET;
13130124;FR SAINT-CANNAT;
13130146;GIGNAC VITROLLES TT;
13130159;ISTRES TT;
13130165;LE MONDE DU PINGPONG;
13130168;MARSEILLE PING;
13130162;MARSEILLE TENNIS DE TABLE;
13130133;OLYMPIQUE CABRIES-CALAS TT;
13130154;PING PONG DE VENELLES;
13130145;PING PONG JOUQUARD;
13130148;ROGNAC UTT;
13130166;SALON TENNIS DE TABLE;
13130157;SPORTS LOISIRS CULTURE;
13130156;TENNIS DE TABLE BOUC BEL AIR;
13130138;TENNIS DE TABLE MEYREUIL;
13130158;TT CHATEAUNEUF LA MEDE;
13130164;TT CHATEAURENARDAIS;
13130013;TT MARTIGUES SLC;
13130169;TT SIMIANE COLLONGUE;
13130005;TTC ARLES;
13130026;US CHEMINOTS MARSEILLAIS;
13130049;USC GRANDE BASTIDE;
13130100;UTT SAINT-MARTIN DE CRAU;
9140055;Amicale Pongiste de Ouistreham;
9140128;AS SPORT. CORMELLES TENNIS TABLE;
9140130;ASTT FONTENAY LE PESNEL;
9140009;AVANT-GARDE-DEAUVILLAISE;
9140014;BAYEUX TT;
9140227;BRETTEVILLE L ORG/ROTS ASSTT;
9140083;BRETTEVILLE SUR LAIZE EVC;
9140012;CABOURG TT;
9140019;CAEN ASPTT;
9140156;CAEN TTC;
9140007;CAENNAISE AG;
9140071;CLUB HONFLEURAIS DE TENNIS DE TA;
9140013;CONDE/NOIREAU SLSN;
9140211;COURTONNE LA MEURDRAC FRTT;
9140162;DOUVRES TENNIS DE TABLE;
9140127;EVRECY TT;
9140072;FALAISE ES;
9140216;FERVAQUES LP;
9140123;FLEURY SUR ORNE CSP;
9140167;FONTAINE-ETOUPEFOUR TT;
9140063;FRENOUVILLAIS TT;
9140233;GIBERVILLAIS TT;
9140231;GRENTHEVILLE USTT;
9140060;HOULGATAISE R;
9140195;LA HOGUETTE FR;
9140202;LE MESNIL MAUGER LPT;
9140179;LE PRE D AUGE-LA BOISSIERE ATT;
9140032;LISIEUX ASTT;
9140111;LOUVIGNY ASL;
9140237;MOULTAIS AVENIR SPORTIF;
9140201;MOYAUSAINE ATT;
9140228;NACRE TENNIS DE TABLE;
9140003;PETRUVIENNE US;
9140054;PONT L EVEQUE US;
9140209;PONT-D'OUILLY FR;
9140190;PORT EN BESSIN C;
9140147;Réveil Pongiste Vasséen;
9140238;SALINE TENNIS DE TABLE;
9140078;ST ANDRE/ORNE USSA;
9140234;ST CONTEST TT;
9140200;ST LAURENT DE CONDEL TT FR;
9140174;THAON CREULLY TENNIS DE TABLE;
9140185;TOURNEBU ATT;
9140224;TOURVILLE SUR ODON ASLO;
9140052;TROARN TT;
9140189;TT DE LA SUISSE NORMANDE;
9140235;USO MONDEVILLE TT;
9140115;VILLERS BOCAGE US;
9140023;VIROISE USM;
1150145;A S NEUSSARGUES;
1150299;ASTT de LAROQUEBROU;
1150148;C.O. ARPAJON;
1150303;Ping du Pays de Naucelles;
1150278;ST GEORGES S.L.;
1150307;TENNIS DE TABLE 3 ROCHERS MURAT;
1150159;Tennis de Table Aurillacois;
